target_id	length	eff_length	est_counts	tpm
g675.t1	4269	4107.53	60	0.765153
g676.t1	669	507.649	126	13.0013
g677.t1	648	486.698	25	2.69066
g678.t1	993	831.532	377	23.7487
g679.t1	291	143.214	0	0
g680.t1	3624	3462.53	7	0.105897
g682.t1	1287	1125.53	43	2.00119
g683.t1	3336	3174.53	37	0.61052
g684.t1	5946	5784.53	301	2.72569
g685.t1	1443	1281.53	7	0.286119
g688.t1	1779	1617.53	158	5.11661
g689.t1	3396	3234.53	123	1.99192
g690.t1	2862	2700.53	2	0.0387935
g691.t1	1170	1008.53	71	3.68762
g692.t1	1482	1320.53	0	0
g693.t1	1380	1218.53	0	0
g694.t1	963	801.532	0	0
g695.t1	1005	843.532	87	5.40251
g696.t1	3813	3651.53	35	0.502078
g697.t1	822	660.532	12	0.951624
g698.t1	555	393.86	52	6.91575
g699.t1	1128	966.532	180	9.75516
g700.t1	4701	4539.53	25	0.288474
g701.t1	1065	903.532	78	4.52198
g702.t1	1260	1098.53	0	0
g703.t1	1737	1575.53	0	0
g705.t1	1092	930.532	48	2.70202
g706.t1	1308	1146.53	95	4.34026
g707.t1	2256	2094.53	10	0.250087
g708.t1	354	199.366	32	8.4077
g709.t1	1296	1134.53	27	1.24659
g710.t1	1623	1461.53	143	5.12514
g711.t1	2211	2049.53	5	0.127789
g712.t1	3627	3465.53	105	1.58707
g713.t1	939	777.532	10	0.673689
g714.t1	2982	2820.53	500	9.28575
g715.t1	1911	1749.53	15	0.449104
g716.t1	495	334.723	0	0
g718.t1	1758	1596.53	1	0.0328096
g719.t1	1458	1296.53	1068	43.1485
g720.t1	1056	894.532	1	0.0585574
g721.t1	591	429.698	91	11.0932
g722.t1	549	388.016	329	44.4144
g723.t1	4188	4026.53	252	3.27829
g725.t1	2262	2100.53	99	2.46879
g726.t1	8007	7845.53	329	2.1966
g727.t1	675	513.649	1	0.101979
g728.t1	1269	1107.53	68	3.21611
g729.t1	1368	1206.53	22	0.955128
g730.t1	570	408.78	138	17.6835
g733.t1	11241	11079.5	82	0.387677
g736.t1	1539	1377.53	49	1.86326
g737.t1	1758	1596.53	609	19.981
g738.t1	1674	1512.53	1067.28	36.9618
g739.t1	3273	3111.53	818.716	13.7828
g740.t1	3954	3792.53	95	1.31212
g741.t1	3627	3465.53	73	1.10339
g744.t1	1473	1311.53	0	0
g745.t1	1155	993.532	2	0.105445
g746.t1	309	158.682	0	0
g747.t1	570	408.78	353	45.2338
g748.t1	1188	1026.53	32	1.63288
g749.t1	2838	2676.53	73	1.42866
g750.t1	3459	3297.53	325	5.16265
g751.t1	2664	2502.53	11	0.230245
g752.t1	261	118.751	1	0.441104
g753.t1	2868	2706.53	64	1.23864
g754.t1	636	474.698	11	1.21382
g755.t1	3210	3048.53	0	0
g756.t1	1695	1533.53	0	0
g757.t1	666	504.649	0	0
g759.t1	834	672.532	0	0
g761.t1	960	798.532	23	1.50874
g762.t1	780	618.532	0	0
g763.t1	1482	1320.53	541	21.4598
g764.t1	1119	957.532	7	0.382933
g765.t1	1581	1419.53	4	0.147602
g767.t1	3342	3180.53	13	0.214102
g769.t1	1557	1395.53	2	0.0750703
g770.t1	1074	912.532	31	1.77947
g771.t1	495	334.723	40	6.25969
g772.t1	738	576.592	35	3.17964
g774.t1	888	726.532	0	0
g775.t1	1323	1161.53	41	1.84897
g776.t1	5184	5022.53	137	1.42881
g777.t1	1302	1140.53	107	4.91422
g779.t1	1887	1725.53	0	0
g780.t1	636	474.698	27	2.97937
g781.t1	561	399.78	0	0
g782.t1	1173	1011.53	119	6.16233
g783.t1	1131	969.532	2	0.108055
g785.t1	2589	2427.53	7	0.151047
g786.t1	3153	2991.53	0	0
g787.t1	3738	3576.53	1	0.0146459
g789.t1	375	218.815	0	0
g790.t1	714	552.649	6	0.568696
g791.t1	2106	1944.53	128	3.44804
g792.t1	1413	1251.53	24	1.00449
g793.t1	2490	2328.53	225	5.06149
g795.t1	2319	2157.53	704	17.092
g796.t1	2082	1920.53	0	0
g797.t1	450	290.473	142	25.6071
g798.t1	678	516.649	351	35.5869
g799.t1	1566	1404.53	7	0.261062
g800.t1	1083	921.532	407	23.1346
g801.t1	558	396.86	21	2.77179
g802.t1	2586	2424.53	51	1.10184
g803.t1	4578	4416.53	296	3.51066
g805.t1	1713	1551.53	4	0.135045
g806.t1	2043	1881.53	107	2.97886
g811.t1	720	558.649	283	26.5354
g813.t1	1260	1098.53	3	0.14305
g814.t1	4800	4638.53	30	0.338781
g815.t1	2895	2733.53	18	0.344926
g816.t1	1488	1326.53	20	0.789751
g817.t1	1332	1170.53	791	35.3974
g818.t1	699	537.649	1	0.097427
g819.t1	1005	843.532	15	0.931467
g820.t1	372	216.059	0	0
g821.t1	1410	1248.53	0	0
g822.t1	1326	1164.53	33	1.48436
g823.t1	555	393.86	4	0.531981
g824.t1	5298	5136.53	581	5.92494
g825.t1	1329	1167.53	45	2.01893
g826.t1	792	630.532	1	0.0830751
g827.t1	1554	1392.53	101	3.79922
g828.t1	3510	3348.53	325	5.08402
g829.t1	1473	1311.53	0	0
g830.t1	2127	1965.53	142	3.78431
g831.t1	801	639.532	12	0.982872
g832.t1	1263	1101.53	0	0
g834.t1	1338	1176.53	1	0.044522
g835.t1	1458	1296.53	32	1.29284
g836.t1	597	435.698	50	6.01122
g837.t1	1983	1821.53	326	9.37473
g838.t1	3039	2877.53	0	0
g839.t1	1212	1050.53	0	0
g841.t1	1980	1818.53	0	0
g842.t1	1110	948.532	274	15.1313
g843.t1	2073	1911.53	188	5.15174
g844.t1	1086	924.532	41	2.32295
g845.t1	2325	2163.53	251	6.07699
g846.t1	8745	8583.53	14	0.0854358
g847.t1	720	558.649	0	0
g849.t1	3339	3177.53	14	0.23079
g851.t1	2706	2544.53	1	0.0205859
g852.t1	1491	1329.53	114	4.49142
g853.t1	426	267.424	120	23.5049
g854.t1	723	561.649	61	5.68909
g855.t1	1320	1158.53	54	2.44154
g857.t1	3210	3048.53	218	3.74579
g858.t1	1155	993.532	1	0.0527225
